,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
3210,data/cut/R000183C4_C00034ADA_9.png,395.0,487.0,395.0,477.0,图书馆,140500,R000183C4,C00034ADA,图书馆,"[('C00034ADB_50', 'R000183C4_0'), ('C00034ADA_163', 'R000183C4_12'), ('C00034ADA_167', 'R000183C4_104'), ('C00034ADA_133', 'R000183C4_82'), ('C00034AD9_149', 'R000183C4_108'), ('C00034AD9_160', 'R000183C5_3'), ('C00034ADB_68', 'R000183C4_225')]",140.0,232.0,R000183C4,C00034ADA,140.0,222.0,R000183C4,C00034ADA
3211,data/cut/R000183C4_C00034ADA_13.png,320.0,277.5,,,,,R000183C4,C00034ADA,林园12号楼,"[('C00034ADA_129', 'R000183C4_9'), ('C00034AD9_216', 'R000183C4_21'), ('C00034AD9_207', 'R000183C4_23'), ('C00034AD9_209', 'R000183C4_45'), ('C00034ADA_130', 'R000183C4_32')]",65.0,22.5,R000183C4,C00034ADA,,,,
3212,data/cut/R000183C4_C00034ADA_22.png,501.0,499.5,,,,,R000183C4,C00034ADA,林园5号楼,"[('C00034ADB_50', 'R000183C4_0'), ('C00034ADA_163', 'R000183C4_12'), ('C00034ADA_167', 'R000183C4_104'), ('C00034ADA_133', 'R000183C4_82'), ('C00034AD9_149', 'R000183C4_108'), ('C00034AD9_160', 'R000183C5_3'), ('C00034ADB_68', 'R000183C4_225')]",246.0,244.5,R000183C4,C00034ADA,,,,
3213,data/cut/R000183C4_C00034AD7_28.png,462.5,409.5,,,,,R000183C4,C00034AD7,18号楼,"[('C00034AD7_211', 'R000183C4_145'), ('C00034AD7_87', 'R000183C4_155'), ('C00034AD7_90', 'R000183C4_178'), ('C00034AD7_214', 'R000183C4_167')]",207.5,154.5,R000183C4,C00034AD7,,,,
3214,data/cut/R000183C4_C00034AD7_30.png,455.5,326.5,,,,,R000183C4,C00034AD7,19号楼,"[('C00034AD7_204', 'R000183C4_59'), ('C00034AD7_81', 'R000183C4_66'), ('C00034AD7_82', 'R000183C4_90'), ('C00034AD7_198', 'R000183C4_82'), ('C00034AD7_204', 'R000183C4_80')]",200.5,71.5,R000183C4,C00034AD7,,,,
3215,data/cut/R000183C4_C00034AD7_32.png,474.5,482.5,,,,,R000183C4,C00034AD7,17号楼,,219.5,227.5,R000183C4,C00034AD7,,,,
3216,data/cut/R000183C4_C00034AD7_50.png,259.0,260.5,,,,,R000183C4,C00034AD7,3楼,"[('C00034AD7_34', 'R000183C3_228'), ('C00034AD6_227', 'R000183C3_231'), ('C00034AD6_226', 'R000183C4_34'), ('C00034AD7_37', 'R000183C4_31')]",4.0,5.5,R000183C4,C00034AD7,,,,
3217,data/cut/R000183C4_C00034AE3_32.png,453.0,303.5,,,,,R000183C4,C00034AE3,甲11号楼,"[('C00034AE4_9', 'R000183C4_39'), ('C00034AE3_228', 'R000183C4_38'), ('C00034AE3_211', 'R000183C4_50'), ('C00034AE3_189', 'R000183C4_50'), ('C00034AE3_171', 'R000183C4_42'), ('C00034AE3_130', 'R000183C4_43'), ('C00034AE3_129', 'R000183C4_68'), ('C00034AE4_8', 'R000183C4_61')]",198.0,48.5,R000183C4,C00034AE3,,,,
3218,data/cut/R000183C4_C00034AE3_47.png,457.5,484.5,,,,,R000183C4,C00034AE3,2号楼,"[('C00034AE4_39', 'R000183C4_157'), ('C00034AE3_154', 'R000183C4_168'), ('C00034AE3_156', 'R000183C5_50'), ('C00034AE3_141', 'R000183C5_63'), ('C00034AE4_31', 'R000183C5_60'), ('C00034AE4_46', 'R000183C5_37')]",202.5,229.5,R000183C4,C00034AE3,,,,
3219,data/cut/R000183C4_C00034AE3_51.png,353.5,470.5,354.0,471.0,停车场,150900,R000183C4,C00034AE3,P,,98.5,215.5,R000183C4,C00034AE3,99.0,216.0,R000183C4,C00034AE3
3220,data/cut/R000183C4_C00034AE3_54.png,490.5,351.5,491.0,352.0,停车场,150900,R000183C4,C00034AE3,P,,235.5,96.5,R000183C4,C00034AE3,236.0,97.0,R000183C4,C00034AE3
3221,,,,474.0,445.0,楼宇,120200,R000183C4,C00034AE3,,,,,,,219.0,190.0,R000183C4,C00034AE3
3222,data/cut/R000183C5_C00034AD9_21.png,435.0,361.5,,,,,R000183C5,C00034AD9,匚贤路,,180.0,106.5,R000183C5,C00034AD9,,,,
3223,data/cut/R000183B2_C00034AD9_17.png,464.5,282.0,465.0,272.0,学校内部设施,141207,R000183B2,C00034AD9,逸夫贰楼,"[('C00034AD8_107', 'R000183B1_254'), ('C00034AD8_112', 'R000183B2_150'), ('C00034AD8_216', 'R000183B2_147'), ('C00034AD8_119', 'R000183B2_182'), ('C00034AD8_130', 'R000183B3_126'), ('C00034AD8_222', 'R000183B3_122'), ('C00034AD8_230', 'R000183B3_51'), ('C00034AD9_231', 'R000183B3_45'), ('C00034AD9_215', 'R000183B2_192'), ('C00034AD9_111', 'R000183B2_203'), ('C00034AD9_115', 'R000183B2_122'), ('C00034AD9_209', 'R000183B2_174'), ('C00034AD9_210', 'R000183B2_123'), ('C00034ADA_1', 'R000183B2_111'), ('C00034AD9_221', 'R000183B2_5'), ('C00034AD9_124', 'R000183B1_253'), ('C00034AD9_71', 'R000183B2_162'), ('C00034AD9_2', 'R000183B2_165'), ('C00034AD8_235', 'R000183B1_250')]",209.5,27.0,R000183B2,C00034AD9,210.0,17.0,R000183B2,C00034AD9
3224,data/cut/R000183C7_C00034ADD_24.png,284.0,301.5,,,,,R000183C7,C00034ADD,校卫队,,29.0,46.5,R000183C7,C00034ADD,,,,
3225,data/cut/R000183C7_C00034ADD_27.png,339.0,279.5,340.0,272.0,通行设施,990000,R000183C7,C00034ADD,东门,,84.0,24.5,R000183C7,C00034ADD,85.0,17.0,R000183C7,C00034ADD
3226,,,,473.0,314.0,公交车站,150700,R000183C7,C00034ADD,,,,,,,218.0,59.0,R000183C7,C00034ADD
3227,data/cut/R000183B3_C00034AD7_13.png,388.0,510.0,388.0,500.0,学校内部设施,141207,R000183B3,C00034AD7,电教楼,"[('C00034AD8_15', 'R000183B3_143'), ('C00034AD7_113', 'R000183B3_152'), ('C00034AD7_133', 'R000183B3_244'), ('C00034AD7_202', 'R000183B4_1'), ('C00034AD7_117', 'R000183B4_20'), ('C00034AD7_115', 'R000183B4_41'), ('C00034AD8_17', 'R000183B4_36'), ('C00034AD8_17', 'R000183B4_13'), ('C00034AD7_241', 'R000183B4_10'), ('C00034AD7_251', 'R000183B3_188'), ('C00034AD7_143', 'R000183B3_200'), ('C00034AD7_145', 'R000183B3_177'), ('C00034AD8_15', 'R000183B3_167')]",133.0,255.0,R000183B3,C00034AD7,133.0,245.0,R000183B3,C00034AD7
3228,data/cut/R000183B3_C00034AD7_14.png,505.0,291.0,505.0,281.0,学校内部设施,141207,R000183B3,C00034AD7,光华楼,"[('C00034AD8_18', 'R000183B2_211'), ('C00034AD7_116', 'R000183B2_216'), ('C00034AD7_117', 'R000183B2_242'), ('C00034AD7_162', 'R000183B2_243'), ('C00034AD7_164', 'R000183B3_52'), ('C00034AD7_114', 'R000183B3_55'), ('C00034AD7_116', 'R000183B3_108'), ('C00034AD7_215', 'R000183B3_107'), ('C00034AD7_217', 'R000183B3_97'), ('C00034AD8_22', 'R000183B3_105')]",250.0,36.0,R000183B3,C00034AD7,250.0,26.0,R000183B3,C00034AD7
3229,data/cut/R000183B3_C00034AE3_6.png,472.5,412.0,473.0,401.0,住宿服务,100000,R000183B3,C00034AE3,居派青年空间公寓,"[('C00034AE4_12', 'R000183B3_96'), ('C00034AE3_252', 'R000183B3_91'), ('C00034AE3_201', 'R000183B3_94'), ('C00034AE3_200', 'R000183B3_160'), ('C00034AE4_12', 'R000183B3_162')]",217.5,157.0,R000183B3,C00034AE3,218.0,146.0,R000183B3,C00034AE3
3230,data/cut/R000183B3_C00034AE3_7.png,268.5,312.5,,,,,R000183B3,C00034AE3,新东方(水清木华校区),,13.5,57.5,R000183B3,C00034AE3,,,,
3231,data/cut/R000183B3_C00034AE3_29.png,403.0,278.5,,,,,R000183B3,C00034AE3,3号楼,"[('C00034AE3_188', 'R000183B3_16'), ('C00034AE3_81', 'R000183B3_16'), ('C00034AE3_79', 'R000183B3_52'), ('C00034AE3_187', 'R000183B3_53')]",148.0,23.5,R000183B3,C00034AE3,,,,
3232,data/cut/R000183B3_C00034AE3_31.png,499.0,345.5,,,,,R000183B3,C00034AE3,号楼,,244.0,90.5,R000183B3,C00034AE3,,,,
3233,,,,497.0,503.0,科研机构,141300,R000183B3,C00034AE3,,,,,,,242.0,248.0,R000183B3,C00034AE3
3234,data/cut/R000183B3_C00034ADA_0.png,434.0,423.0,,,,,R000183B3,C00034ADA,中关村北,,179.0,168.0,R000183B3,C00034ADA,,,,
3235,data/cut/R000183B3_C00034ADA_20.png,383.5,434.5,384.0,427.0,通行设施,990000,R000183B3,C00034ADA,东南门,,128.5,179.5,R000183B3,C00034ADA,129.0,172.0,R000183B3,C00034ADA
3236,data/cut/R000183C7_C00034AD2_3.png,501.0,455.5,501.0,438.0,运动场馆,080100,R000183C7,C00034AD2,第十九中学-体育馆,"[('C00034AD2_195', 'R000183C7_15'), ('C00034AD2_163', 'R000183C7_23'), ('C00034AD2_171', 'R000183C7_90'), ('C00034AD2_164', 'R000183C7_170'), ('C00034AD2_185', 'R000183C8_5'), ('C00034AD2_249', 'R000183C7_247'), ('C00034AD2_232', 'R000183C7_153'), ('C00034AD2_206', 'R000183C7_100')]",246.0,200.5,R000183C7,C00034AD2,246.0,183.0,R000183C7,C00034AD2
3237,data/cut/R000183C7_C00034AD2_9.png,465.5,351.0,,,,,R000183C7,C00034AD2,北京市第十九中学,"[('C00034AD2_195', 'R000183C7_15'), ('C00034AD2_163', 'R000183C7_23'), ('C00034AD2_171', 'R000183C7_90'), ('C00034AD2_164', 'R000183C7_170'), ('C00034AD2_185', 'R000183C8_5'), ('C00034AD2_249', 'R000183C7_247'), ('C00034AD2_232', 'R000183C7_153'), ('C00034AD2_206', 'R000183C7_100')]",210.5,96.0,R000183C7,C00034AD2,,,,
3238,data/cut/R000183C7_C00034AE6_11.png,255.5,458.5,,,,,R000183C7,C00034AE6,D座,"[('C00034AE6_22', 'R000183C7_167'), ('C00034AE5_214', 'R000183C7_170'), ('C00034AE5_218', 'R000183C7_241'), ('C00034AE6_24', 'R000183C7_238')]",0.5,203.5,R000183C7,C00034AE6,,,,
3239,data/cut/R000183C7_C00034AE6_12.png,304.0,265.5,,,,,R000183C7,C00034AE6,航青云,,49.0,10.5,R000183C7,C00034AE6,,,,
