,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
0,data/cut_3/R000183B1_C00034AD0_6.png,302.0,348.5,,,,,R000183B1,C00034AD0,畅春园路,None,47.0,93.5,R000183B1,C00034AD0,,,,
1,data/cut_3/R000183B1_C00034AD0_9.png,421.5,401.0,,,,,R000183B1,C00034AD0,瑞德棋苑,None,166.5,146.0,R000183B1,C00034AD0,,,,
2,,,,424.0,338.0,通行设施,990000,R000183B1,C00034AD0,,,,,,,169.0,83.0,R000183B1,C00034AD0
3,data/cut_3/R000183B1_C00034AE4_0.png,418.0,417.5,419.0,399.0,公检法机构,130500,R000183B1,C00034AE4,科技园区警务工作室,None,163.0,162.5,R000183B1,C00034AE4,164.0,144.0,R000183B1,C00034AE4
4,data/cut_3/R000183B1_C00034AE4_1.png,291.5,498.0,,,,,R000183B1,C00034AE4,北京小背篓搬家有限公司,None,36.5,243.0,R000183B1,C00034AE4,,,,
5,data/cut_3/R000183B1_C00034AE4_5.png,402.0,474.5,,,,,R000183B1,C00034AE4,科馨社区服务站,None,147.0,219.5,R000183B1,C00034AE4,,,,
6,data/cut_3/R000183B1_C00034AE4_7.png,502.5,454.5,503.0,444.0,楼宇,120200,R000183B1,C00034AE4,蓝润大厦,"[(421, 442), (509, 442), (509, 546), (421, 546)]",247.5,199.5,R000183B1,C00034AE4,248.0,189.0,R000183B1,C00034AE4
7,data/cut_3/R000183B1_C00034AE4_9.png,336.0,374.5,361.0,377.0,便民商店,060200,R000183B1,C00034AE4,超市发,None,81.0,119.5,R000183B1,C00034AE4,106.0,122.0,R000183B1,C00034AE4
8,data/cut_3/R000183B1_C00034AE4_14.png,280.5,313.5,,,,,R000183B1,C00034AE4,成府路,None,25.5,58.5,R000183B1,C00034AE4,,,,
9,,,,493.0,400.0,停车场,150900,R000183B1,C00034AE4,,,,,,,238.0,145.0,R000183B1,C00034AE4
10,data/cut_3/R000183B1_C00034ADF_5.png,483.5,286.0,484.0,277.0,交通银行,160108,R000183B1,C00034ADF,交通银行,None,228.5,31.0,R000183B1,C00034ADF,229.0,22.0,R000183B1,C00034ADF
11,data/cut_3/R000183B1_C00034ADF_7.png,419.5,461.0,420.0,451.0,楼宇,120200,R000183B1,C00034ADF,中科科仪,None,164.5,206.0,R000183B1,C00034ADF,165.0,196.0,R000183B1,C00034ADF
12,data/cut_3/R000183B1_C00034ADF_8.png,327.0,456.0,325.0,446.0,专卖店,061200,R000183B1,C00034ADF,今日电器,None,72.0,201.0,R000183B1,C00034ADF,70.0,191.0,R000183B1,C00034ADF
13,data/cut_3/R000183B1_C00034ADF_14.png,424.5,380.5,,,,,R000183B1,C00034ADF,成府路,None,169.5,125.5,R000183B1,C00034ADF,,,,
14,data/cut_3/R000183B1_C00034ADF_16.png,415.5,314.5,416.0,307.0,通行设施,990000,R000183B1,C00034ADF,南4门,None,160.5,59.5,R000183B1,C00034ADF,161.0,52.0,R000183B1,C00034ADF
15,,,,480.0,501.0,停车场,150900,R000183B1,C00034ADF,,,,,,,225.0,246.0,R000183B1,C00034ADF
16,data/cut_3/R000183B2_C00034AE1_3.png,424.0,431.5,425.0,414.0,科研机构,141300,R000183B2,C00034AE1,生化工程国家重点实验室,"[(355, 395), (428, 395), (428, 460), (355, 460)]",169.0,176.5,R000183B2,C00034AE1,170.0,159.0,R000183B2,C00034AE1
17,data/cut_3/R000183B2_C00034ADC_8.png,396.0,393.5,,,,,R000183B2,C00034ADC,北京大学中关新园50丙,None,141.0,138.5,R000183B2,C00034ADC,,,,
18,data/cut_3/R000183B2_C00034ADC_10.png,307.5,393.0,339.0,396.0,美容美发店,071100,R000183B2,C00034ADC,越秀造型A,None,52.5,138.0,R000183B2,C00034ADC,84.0,141.0,R000183B2,C00034ADC
19,data/cut_3/R000183B2_C00034ADC_21.png,396.5,477.5,,,,,R000183B2,C00034ADC,50乙号楼,None,141.5,222.5,R000183B2,C00034ADC,,,,
20,data/cut_3/R000183B2_C00034ADB_3.png,463.0,288.5,,,,,R000183B2,C00034ADB,化学与分子工程学院大楼,None,208.0,33.5,R000183B2,C00034ADB,,,,
21,data/cut_3/R000183B2_C00034ADB_6.png,437.0,450.5,,,,,R000183B2,C00034ADB,化学与分子工程学院,None,182.0,195.5,R000183B2,C00034ADB,,,,
22,data/cut_3/R000183B2_C00034ADB_14.png,264.5,377.5,264.0,367.0,楼宇,120200,R000183B2,C00034ADB,方正大厦,None,9.5,122.5,R000183B2,C00034ADB,9.0,112.0,R000183B2,C00034ADB
23,data/cut_3/R000183B2_C00034ADB_15.png,367.0,305.5,367.0,295.0,学校内部设施,141207,R000183B2,C00034ADB,化学楼,None,112.0,50.5,R000183B2,C00034ADB,112.0,40.0,R000183B2,C00034ADB
24,,,,418.0,289.0,学校内部设施,141207,R000183B2,C00034ADB,,,,,,,163.0,34.0,R000183B2,C00034ADB
25,data/cut_3/R000183B2_C00034AE0_5.png,313.5,378.5,,,,,R000183B2,C00034AE0,北京中科科仪股份有限公司,None,58.5,123.5,R000183B2,C00034AE0,,,,
26,,,,484.0,351.0,停车场,150900,R000183B2,C00034AE0,,,,,,,229.0,96.0,R000183B2,C00034AE0
27,data/cut_3/R000183B2_C00034AD4_1.png,268.0,297.0,,,,,R000183B2,C00034AD4,北京大学国际关系学院,None,13.0,42.0,R000183B2,C00034AD4,,,,
28,data/cut_3/R000183B2_C00034AD4_16.png,416.0,450.5,417.0,441.0,科教文化服务,140000,R000183B2,C00034AD4,燕京学堂,None,161.0,195.5,R000183B2,C00034AD4,162.0,186.0,R000183B2,C00034AD4
29,data/cut_3/R000183B2_C00034AD4_18.png,485.0,299.5,485.0,293.0,风景名胜,110200,R000183B2,C00034AD4,静园,None,230.0,44.5,R000183B2,C00034AD4,230.0,38.0,R000183B2,C00034AD4
30,data/cut_3/R000183B2_C00034AD4_20.png,368.5,489.0,,,,,R000183B2,C00034AD4,静园路,None,113.5,234.0,R000183B2,C00034AD4,,,,
31,,,,328.0,415.0,停车场,150900,R000183B2,C00034AD4,,,,,,,73.0,160.0,R000183B2,C00034AD4
32,data/cut_3/R000183B1_C00034AE5_10.png,382.0,396.5,382.0,388.0,餐饮服务,050000,R000183B1,C00034AE5,胖胖家常菜,None,127.0,141.5,R000183B1,C00034AE5,127.0,133.0,R000183B1,C00034AE5
33,data/cut_3/R000183B1_C00034AE5_17.png,294.5,258.5,,,,,R000183B1,C00034AE5,巴业UE,None,39.5,3.5,R000183B1,C00034AE5,,,,
34,data/cut_3/R000183B1_C00034AE5_19.png,444.5,278.0,,,,,R000183B1,C00034AE5,成府路,"[(421, 186), (509, 186), (509, 290), (421, 290)]",189.5,23.0,R000183B1,C00034AE5,,,,
35,data/cut_3/R000183B1_C00034AE5_21.png,445.5,464.5,446.0,457.0,通行设施,990000,R000183B1,C00034AE5,西南门,None,190.5,209.5,R000183B1,C00034AE5,191.0,202.0,R000183B1,C00034AE5
36,data/cut_3/R000183B1_C00034AE5_30.png,462.0,424.0,446.0,457.0,通行设施,990000,R000183B1,C00034AE5,4号楼,None,207.0,169.0,R000183B1,C00034AE5,191.0,202.0,R000183B1,C00034AE5
37,,,,379.0,479.0,停车场,150900,R000183B1,C00034AE5,,,,,,,124.0,224.0,R000183B1,C00034AE5
38,,,,318.0,474.0,停车场,150900,R000183B1,C00034AE5,,,,,,,63.0,219.0,R000183B1,C00034AE5
39,,,,276.0,372.0,停车场,150900,R000183B1,C00034AE5,,,,,,,21.0,117.0,R000183B1,C00034AE5
40,,,,474.0,350.0,停车场,150900,R000183B1,C00034AE5,,,,,,,219.0,95.0,R000183B1,C00034AE5
41,,,,509.0,503.0,住宅区,120300,R000183B1,C00034AE5,,,,,,,254.0,248.0,R000183B1,C00034AE5
42,data/cut_3/R000183B1_C00034AD1_0.png,260.5,388.5,261.0,372.0,科研机构,141300,R000183B1,C00034AD1,中国城乡发展国际交流协会研究部,None,5.5,133.5,R000183B1,C00034AD1,6.0,117.0,R000183B1,C00034AD1
43,data/cut_3/R000183B1_C00034AD1_2.png,405.5,319.5,,,,,R000183B1,C00034AD1,燕园街道办事处职业介绍所,None,150.5,64.5,R000183B1,C00034AD1,,,,
44,data/cut_3/R000183B1_C00034AD1_14.png,342.5,322.0,343.0,314.0,通行设施,990000,R000183B1,C00034AD1,南1门,None,87.5,67.0,R000183B1,C00034AD1,88.0,59.0,R000183B1,C00034AD1
45,data/cut_3/R000183B1_C00034AD1_16.png,449.0,262.0,,,,,R000183B1,C00034AD1,57号楼,None,194.0,7.0,R000183B1,C00034AD1,,,,
46,data/cut_3/R000183B1_C00034AD1_17.png,284.0,280.5,,,,,R000183B1,C00034AD1,63号楼,None,29.0,25.5,R000183B1,C00034AD1,,,,
47,data/cut_3/R000183B1_C00034AD1_19.png,378.0,484.5,,,,,R000183B1,C00034AD1,3号楼,None,123.0,229.5,R000183B1,C00034AD1,,,,
48,data/cut_3/R000183B1_C00034AD1_24.png,403.0,384.5,,,,,R000183B1,C00034AD1,4号楼,None,148.0,129.5,R000183B1,C00034AD1,,,,
49,data/cut_3/R000183B1_C00034AD3_1.png,286.5,509.5,286.0,501.0,餐饮服务,050000,R000183B1,C00034AD3,5乙号楼勺园食堂,None,31.5,254.5,R000183B1,C00034AD3,31.0,246.0,R000183B1,C00034AD3
50,data/cut_3/R000183B1_C00034AD3_3.png,315.0,316.5,,,,,R000183B1,C00034AD3,普北京大学勺园,None,60.0,61.5,R000183B1,C00034AD3,,,,
51,data/cut_3/R000183B1_C00034AD3_4.png,398.0,281.5,369.0,282.0,风景名胜,110200,R000183B1,C00034AD3,塞万提斯,None,143.0,26.5,R000183B1,C00034AD3,114.0,27.0,R000183B1,C00034AD3
52,data/cut_3/R000183B1_C00034AD3_21.png,376.0,467.5,,,,,R000183B1,C00034AD3,1号楼,None,121.0,212.5,R000183B1,C00034AD3,,,,
53,,,,271.0,316.0,风景名胜,110200,R000183B1,C00034AD3,,,,,,,16.0,61.0,R000183B1,C00034AD3
54,data/cut_3/R000183B1_C00034ADE_5.png,504.0,467.5,505.0,458.0,医疗保健服务,090000,R000183B1,C00034ADE,永康口腔,None,249.0,212.5,R000183B1,C00034ADE,250.0,203.0,R000183B1,C00034ADE
55,data/cut_3/R000183B1_C00034ADE_8.png,269.0,367.0,,,,,R000183B1,C00034ADE,成府路,None,14.0,112.0,R000183B1,C00034ADE,,,,
56,data/cut_3/R000183B1_C00034ADE_10.png,432.0,374.0,,,,,R000183B1,C00034ADE,成府路,None,177.0,119.0,R000183B1,C00034ADE,,,,
57,data/cut_3/R000183B1_C00034ADE_13.png,265.0,508.5,265.0,499.0,餐饮服务,050000,R000183B1,C00034ADE,食堂,None,10.0,253.5,R000183B1,C00034ADE,10.0,244.0,R000183B1,C00034ADE
58,data/cut_3/R000183B2_C00034AE2_0.png,289.5,311.0,,,,,R000183B2,C00034AE2,全国颗粒表征与分检及筛网标准化技术委员会颗粒分技术委员会,"[(165, 286), (316, 286), (316, 423), (165, 423)]",34.5,56.0,R000183B2,C00034AE2,,,,
59,data/cut_3/R000183B2_C00034AE2_1.png,282.5,367.5,,,,,R000183B2,C00034AE2,中国科学院过程程研究所(西区),"[(165, 286), (316, 286), (316, 423), (165, 423)]",27.5,112.5,R000183B2,C00034AE2,,,,
60,data/cut_3/R000183B2_C00034AE2_2.png,429.0,368.5,,,,,R000183B2,C00034AE2,国家生化工程技术研究中心,None,174.0,113.5,R000183B2,C00034AE2,,,,
61,data/cut_3/R000183B2_C00034AE2_12.png,495.0,371.5,,,,,R000183B2,C00034AE2,中关村北二街,None,240.0,116.5,R000183B2,C00034AE2,,,,
62,,,,460.0,409.0,科研机构,141300,R000183B2,C00034AE2,,,,,,,205.0,154.0,R000183B2,C00034AE2
63,,,,384.0,370.0,科研机构,141300,R000183B2,C00034AE2,,,,,,,129.0,115.0,R000183B2,C00034AE2
64,,,,300.0,261.0,停车场,150900,R000183B2,C00034AE2,,,,,,,45.0,6.0,R000183B2,C00034AE2
65,data/cut_3/R000183B2_C00034AD6_14.png,460.5,492.5,461.0,482.0,学校内部设施,141207,R000183B2,C00034AD6,哲学楼,None,205.5,237.5,R000183B2,C00034AD6,206.0,227.0,R000183B2,C00034AD6
66,data/cut_3/R000183B3_C00034AD8_2.png,380.5,340.0,,,,,R000183B3,C00034AD8,计算机科学技术系,None,125.5,85.0,R000183B3,C00034AD8,,,,
67,data/cut_3/R000183B3_C00034AD8_7.png,494.0,356.0,,,,,R000183B3,C00034AD8,数学科学学院,None,239.0,101.0,R000183B3,C00034AD8,,,,
68,,,,506.0,498.0,学校内部设施,141207,R000183B3,C00034AD8,,,,,,,251.0,243.0,R000183B3,C00034AD8
69,data/cut_3/R000183B3_C00034AD9_5.png,443.0,312.0,,,,,R000183B3,C00034AD9,信息科学技术学院,None,188.0,57.0,R000183B3,C00034AD9,,,,
70,data/cut_3/R000183B3_C00034AD9_6.png,436.5,491.0,,,,,R000183B3,C00034AD9,马克思主义学院,None,181.5,236.0,R000183B3,C00034AD9,,,,
71,data/cut_3/R000183B2_C00034ADA_2.png,490.0,286.0,490.0,269.0,科研机构,141300,R000183B2,C00034ADA,北大青鸟领导力研究院,None,235.0,31.0,R000183B2,C00034ADA,235.0,14.0,R000183B2,C00034ADA
72,data/cut_3/R000183B2_C00034ADA_10.png,491.5,485.5,491.0,476.0,餐饮服务,050000,R000183B2,C00034ADA,方正集团食堂,None,236.5,230.5,R000183B2,C00034ADA,236.0,221.0,R000183B2,C00034ADA
73,data/cut_3/R000183B2_C00034ADA_24.png,346.5,292.0,,,,,R000183B2,C00034ADA,@,None,91.5,37.0,R000183B2,C00034ADA,,,,
