,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后
0,data/cut_3/R000183B1_C00034AD0_6.png,302.0,348.5,,,,,R000183B1,C00034AD0,畅春园路,None,47.0,93.5,R000183B1,C00034AD0,,,,
1,data/cut_3/R000183B1_C00034AD0_9.png,421.5,401.0,,,,,R000183B1,C00034AD0,瑞德棋苑,None,166.5,146.0,R000183B1,C00034AD0,,,,
2,data/cut_3/R000183B1_C00034AD0_12.png,424.0,345.5,424.0,338.0,通行设施,990000,R000183B1,C00034AD0,南2门,None,169.0,90.5,R000183B1,C00034AD0,169.0,83.0,R000183B1,C00034AD0
3,data/cut_3/R000183B1_C00034AE4_1.png,417.5,417.5,419.0,399.0,公检法机构,130500,R000183B1,C00034AE4,★科技园区警务工作室,None,162.5,162.5,R000183B1,C00034AE4,164.0,144.0,R000183B1,C00034AE4
4,data/cut_3/R000183B1_C00034AE4_2.png,291.5,498.5,,,,,R000183B1,C00034AE4,北京小背篓搬家有限公司,None,36.5,243.5,R000183B1,C00034AE4,,,,
5,data/cut_3/R000183B1_C00034AE4_6.png,401.0,474.5,,,,,R000183B1,C00034AE4,科馨社区服务站,None,146.0,219.5,R000183B1,C00034AE4,,,,
6,data/cut_3/R000183B1_C00034AE4_8.png,502.5,454.5,503.0,444.0,楼宇,120200,R000183B1,C00034AE4,蓝润大厦,"[(421, 442), (509, 442), (509, 546), (421, 546)]",247.5,199.5,R000183B1,C00034AE4,248.0,189.0,R000183B1,C00034AE4
7,data/cut_3/R000183B1_C00034AE4_12.png,336.0,374.5,361.0,377.0,便民商店,060200,R000183B1,C00034AE4,超市发,None,81.0,119.5,R000183B1,C00034AE4,106.0,122.0,R000183B1,C00034AE4
8,data/cut_3/R000183B1_C00034AE4_14.png,280.0,313.0,,,,,R000183B1,C00034AE4,成府路,None,25.0,58.0,R000183B1,C00034AE4,,,,
9,,,,493.0,400.0,停车场,150900,R000183B1,C00034AE4,,,,,,,238.0,145.0,R000183B1,C00034AE4
10,data/cut_3/R000183B1_C00034ADF_5.png,483.5,286.0,484.0,277.0,交通银行,160108,R000183B1,C00034ADF,交通银行,None,228.5,31.0,R000183B1,C00034ADF,229.0,22.0,R000183B1,C00034ADF
11,data/cut_3/R000183B1_C00034ADF_8.png,419.5,461.0,420.0,451.0,楼宇,120200,R000183B1,C00034ADF,中科科仪,None,164.5,206.0,R000183B1,C00034ADF,165.0,196.0,R000183B1,C00034ADF
12,data/cut_3/R000183B1_C00034ADF_9.png,327.0,455.5,325.0,446.0,专卖店,061200,R000183B1,C00034ADF,今日电器,None,72.0,200.5,R000183B1,C00034ADF,70.0,191.0,R000183B1,C00034ADF
13,data/cut_3/R000183B1_C00034ADF_15.png,424.5,380.0,,,,,R000183B1,C00034ADF,成府路,None,169.5,125.0,R000183B1,C00034ADF,,,,
14,data/cut_3/R000183B1_C00034ADF_20.png,415.5,314.5,416.0,307.0,通行设施,990000,R000183B1,C00034ADF,南4门,None,160.5,59.5,R000183B1,C00034ADF,161.0,52.0,R000183B1,C00034ADF
15,data/cut_3/R000183B1_C00034ADF_30.png,479.0,499.5,480.0,501.0,停车场,150900,R000183B1,C00034ADF,P,"[(440, 413), (484, 413), (484, 519), (440, 519)]",224.0,244.5,R000183B1,C00034ADF,225.0,246.0,R000183B1,C00034ADF
16,data/cut_3/R000183B2_C00034AD5_34.png,436.0,511.0,,,,,R000183B2,C00034AD5,下E,None,181.0,0.0,R000183B3,C00034AD5,,,,
17,data/cut_3/R000183B2_C00034AE1_4.png,424.5,432.0,425.0,414.0,科研机构,141300,R000183B2,C00034AE1,生化工程国家重点实验室,"[(355, 395), (428, 395), (428, 460), (355, 460)]",169.5,177.0,R000183B2,C00034AE1,170.0,159.0,R000183B2,C00034AE1
18,data/cut_3/R000183B2_C00034ADC_8.png,396.0,393.0,,,,,R000183B2,C00034ADC,北京大学中关新园50丙,None,141.0,138.0,R000183B2,C00034ADC,,,,
19,data/cut_3/R000183B2_C00034ADC_10.png,308.0,393.5,339.0,396.0,美容美发店,071100,R000183B2,C00034ADC,越秀造型A,None,53.0,138.5,R000183B2,C00034ADC,84.0,141.0,R000183B2,C00034ADC
20,data/cut_3/R000183B2_C00034ADC_21.png,396.0,477.5,,,,,R000183B2,C00034ADC,50乙号楼,None,141.0,222.5,R000183B2,C00034ADC,,,,
21,data/cut_3/R000183B2_C00034ADB_4.png,462.0,288.0,,,,,R000183B2,C00034ADB,化学与分子工程学院大楼,None,207.0,33.0,R000183B2,C00034ADB,,,,
22,data/cut_3/R000183B2_C00034ADB_6.png,437.0,450.5,,,,,R000183B2,C00034ADB,化学与分子工程学院,None,182.0,195.5,R000183B2,C00034ADB,,,,
23,data/cut_3/R000183B2_C00034ADB_15.png,264.5,377.5,264.0,367.0,楼宇,120200,R000183B2,C00034ADB,方正大厦,None,9.5,122.5,R000183B2,C00034ADB,9.0,112.0,R000183B2,C00034ADB
24,data/cut_3/R000183B2_C00034ADB_17.png,367.0,305.5,367.0,295.0,学校内部设施,141207,R000183B2,C00034ADB,化学楼,None,112.0,50.5,R000183B2,C00034ADB,112.0,40.0,R000183B2,C00034ADB
25,,,,418.0,289.0,学校内部设施,141207,R000183B2,C00034ADB,,,,,,,163.0,34.0,R000183B2,C00034ADB
26,data/cut_3/R000183B2_C00034AE0_6.png,313.5,378.5,,,,,R000183B2,C00034AE0,北京中科科仪股份有限公司,None,58.5,123.5,R000183B2,C00034AE0,,,,
27,,,,484.0,351.0,停车场,150900,R000183B2,C00034AE0,,,,,,,229.0,96.0,R000183B2,C00034AE0
28,data/cut_3/R000183B2_C00034AD4_1.png,268.0,297.0,,,,,R000183B2,C00034AD4,北京大学国际关系学院,None,13.0,42.0,R000183B2,C00034AD4,,,,
29,data/cut_3/R000183B2_C00034AD4_14.png,416.0,450.0,417.0,441.0,科教文化服务,140000,R000183B2,C00034AD4,燕京学堂,None,161.0,195.0,R000183B2,C00034AD4,162.0,186.0,R000183B2,C00034AD4
30,data/cut_3/R000183B2_C00034AD4_18.png,485.0,299.5,485.0,293.0,风景名胜,110200,R000183B2,C00034AD4,静园,None,230.0,44.5,R000183B2,C00034AD4,230.0,38.0,R000183B2,C00034AD4
31,data/cut_3/R000183B2_C00034AD4_20.png,369.0,488.5,,,,,R000183B2,C00034AD4,静园路,None,114.0,233.5,R000183B2,C00034AD4,,,,
32,,,,328.0,415.0,停车场,150900,R000183B2,C00034AD4,,,,,,,73.0,160.0,R000183B2,C00034AD4
33,data/cut_3/R000183B1_C00034AE5_10.png,381.0,396.0,382.0,388.0,餐饮服务,050000,R000183B1,C00034AE5,胖胖家常菜,None,126.0,141.0,R000183B1,C00034AE5,127.0,133.0,R000183B1,C00034AE5
34,data/cut_3/R000183B1_C00034AE5_13.png,273.5,325.5,,,,,R000183B1,C00034AE5,成府路,None,18.5,70.5,R000183B1,C00034AE5,,,,
35,data/cut_3/R000183B1_C00034AE5_17.png,444.5,278.0,,,,,R000183B1,C00034AE5,成府路,"[(421, 186), (509, 186), (509, 290), (421, 290)]",189.5,23.0,R000183B1,C00034AE5,,,,
36,data/cut_3/R000183B1_C00034AE5_18.png,294.5,259.0,,,,,R000183B1,C00034AE5,巴业u,None,39.5,4.0,R000183B1,C00034AE5,,,,
37,data/cut_3/R000183B1_C00034AE5_32.png,462.0,423.5,446.0,457.0,通行设施,990000,R000183B1,C00034AE5,4号楼,None,207.0,168.5,R000183B1,C00034AE5,191.0,202.0,R000183B1,C00034AE5
38,data/cut_3/R000183B1_C00034AE5_39.png,275.0,370.0,276.0,372.0,停车场,150900,R000183B1,C00034AE5,P,None,20.0,115.0,R000183B1,C00034AE5,21.0,117.0,R000183B1,C00034AE5
39,data/cut_3/R000183B1_C00034AE5_40.png,378.0,477.5,379.0,479.0,停车场,150900,R000183B1,C00034AE5,P,None,123.0,222.5,R000183B1,C00034AE5,124.0,224.0,R000183B1,C00034AE5
40,data/cut_3/R000183B1_C00034AE5_41.png,317.0,472.5,318.0,474.0,停车场,150900,R000183B1,C00034AE5,P,None,62.0,217.5,R000183B1,C00034AE5,63.0,219.0,R000183B1,C00034AE5
41,data/cut_3/R000183B1_C00034AE5_42.png,473.0,348.5,474.0,350.0,停车场,150900,R000183B1,C00034AE5,P,None,218.0,93.5,R000183B1,C00034AE5,219.0,95.0,R000183B1,C00034AE5
42,,,,509.0,503.0,住宅区,120300,R000183B1,C00034AE5,,,,,,,254.0,248.0,R000183B1,C00034AE5
43,data/cut_3/R000183B1_C00034AD1_0.png,260.0,389.5,261.0,372.0,科研机构,141300,R000183B1,C00034AD1,中国城乡发展国际交流协会研究部,None,5.0,134.5,R000183B1,C00034AD1,6.0,117.0,R000183B1,C00034AD1
44,data/cut_3/R000183B1_C00034AD1_2.png,405.5,320.0,,,,,R000183B1,C00034AD1,燕园街道办事处职业介绍所,None,150.5,65.0,R000183B1,C00034AD1,,,,
45,data/cut_3/R000183B1_C00034AD1_16.png,343.0,322.0,343.0,314.0,通行设施,990000,R000183B1,C00034AD1,南1门,None,88.0,67.0,R000183B1,C00034AD1,88.0,59.0,R000183B1,C00034AD1
46,data/cut_3/R000183B1_C00034AD1_18.png,449.0,262.0,,,,,R000183B1,C00034AD1,57号楼,None,194.0,7.0,R000183B1,C00034AD1,,,,
47,data/cut_3/R000183B1_C00034AD1_19.png,284.0,280.5,,,,,R000183B1,C00034AD1,63号楼,None,29.0,25.5,R000183B1,C00034AD1,,,,
48,data/cut_3/R000183B1_C00034AD1_23.png,378.0,484.5,,,,,R000183B1,C00034AD1,3号楼,None,123.0,229.5,R000183B1,C00034AD1,,,,
49,data/cut_3/R000183B1_C00034AD1_25.png,403.0,384.5,,,,,R000183B1,C00034AD1,4号楼,None,148.0,129.5,R000183B1,C00034AD1,,,,
50,data/cut_3/R000183B1_C00034AD3_2.png,286.5,509.5,286.0,501.0,餐饮服务,050000,R000183B1,C00034AD3,5乙号楼勺园食堂,None,31.5,254.5,R000183B1,C00034AD3,31.0,246.0,R000183B1,C00034AD3
51,data/cut_3/R000183B1_C00034AD3_3.png,314.5,316.5,,,,,R000183B1,C00034AD3,普北京大学勺园,None,59.5,61.5,R000183B1,C00034AD3,,,,
52,data/cut_3/R000183B1_C00034AD3_5.png,398.0,281.5,369.0,282.0,风景名胜,110200,R000183B1,C00034AD3,塞万提斯,None,143.0,26.5,R000183B1,C00034AD3,114.0,27.0,R000183B1,C00034AD3
53,data/cut_3/R000183B1_C00034AD3_21.png,376.0,467.5,,,,,R000183B1,C00034AD3,1号楼,None,121.0,212.5,R000183B1,C00034AD3,,,,
54,data/cut_3/R000183B1_C00034AD3_22.png,257.5,439.5,,,,,R000183B1,C00034AD3,5号楼,None,2.5,184.5,R000183B1,C00034AD3,,,,
55,,,,271.0,316.0,风景名胜,110200,R000183B1,C00034AD3,,,,,,,16.0,61.0,R000183B1,C00034AD3
56,data/cut_3/R000183B1_C00034ADE_0.png,320.5,401.5,,,,,R000183B1,C00034ADE,成府路,None,65.5,146.5,R000183B1,C00034ADE,,,,
57,data/cut_3/R000183B1_C00034ADE_6.png,504.0,467.5,505.0,458.0,医疗保健服务,090000,R000183B1,C00034ADE,永康口腔,None,249.0,212.5,R000183B1,C00034ADE,250.0,203.0,R000183B1,C00034ADE
58,data/cut_3/R000183B1_C00034ADE_12.png,431.5,374.5,,,,,R000183B1,C00034ADE,成府路,None,176.5,119.5,R000183B1,C00034ADE,,,,
59,data/cut_3/R000183B1_C00034ADE_15.png,265.0,508.5,265.0,499.0,餐饮服务,050000,R000183B1,C00034ADE,食堂,None,10.0,253.5,R000183B1,C00034ADE,10.0,244.0,R000183B1,C00034ADE
60,data/cut_3/R000183B2_C00034AE2_0.png,289.5,311.5,,,,,R000183B2,C00034AE2,全国颗粒表征与分检及筛网标准化技术委员会颗粒分技术委员会,"[(165, 286), (316, 286), (316, 423), (165, 423)]",34.5,56.5,R000183B2,C00034AE2,,,,
61,data/cut_3/R000183B2_C00034AE2_2.png,281.5,366.5,,,,,R000183B2,C00034AE2,中国科学院过程程研究所(西区,"[(165, 286), (316, 286), (316, 423), (165, 423)]",26.5,111.5,R000183B2,C00034AE2,,,,
62,data/cut_3/R000183B2_C00034AE2_3.png,429.0,369.0,,,,,R000183B2,C00034AE2,国家生化工程技术研究中心,None,174.0,114.0,R000183B2,C00034AE2,,,,
63,data/cut_3/R000183B2_C00034AE2_13.png,495.0,372.0,,,,,R000183B2,C00034AE2,中关村北二街,None,240.0,117.0,R000183B2,C00034AE2,,,,
64,data/cut_3/R000183B2_C00034AE2_20.png,459.5,418.5,460.0,409.0,科研机构,141300,R000183B2,C00034AE2,东区,None,204.5,163.5,R000183B2,C00034AE2,205.0,154.0,R000183B2,C00034AE2
65,data/cut_3/R000183B2_C00034AE2_45.png,299.0,259.0,300.0,261.0,停车场,150900,R000183B2,C00034AE2,P,None,44.0,4.0,R000183B2,C00034AE2,45.0,6.0,R000183B2,C00034AE2
66,,,,384.0,370.0,科研机构,141300,R000183B2,C00034AE2,,,,,,,129.0,115.0,R000183B2,C00034AE2
67,data/cut_3/R000183B2_C00034AD6_14.png,461.0,491.5,461.0,482.0,学校内部设施,141207,R000183B2,C00034AD6,哲学楼,None,206.0,236.5,R000183B2,C00034AD6,206.0,227.0,R000183B2,C00034AD6
68,data/cut_3/R000183B3_C00034AD8_2.png,380.5,340.0,,,,,R000183B3,C00034AD8,计算机科学技术系,None,125.5,85.0,R000183B3,C00034AD8,,,,
69,data/cut_3/R000183B3_C00034AD8_7.png,494.0,355.5,,,,,R000183B3,C00034AD8,数学科学学院,None,239.0,100.5,R000183B3,C00034AD8,,,,
