,cut_path,文字_x,文字_y,图标_x,图标_y,图标类型,图标代码,中心图行,中心图列,文字,轮廓,文字_x转换后,文字_y转换后,文字行转换后,文字列转换后,word_x,word_y,图标_x转换后,图标_y转换后,图标行转换后,图标列转换后,icon_x,icon_y
2274,data/cut/R000183B9_C00034ADF_33.png,507,337.5,,,,,R000183B9,C00034ADF,2号楼,"[('C00034ADF_200', 'R000183B9_42'), ('C00034AE0_232', 'R000183B9_42'), ('C00034AE0_232', 'R000183B9_131'), ('C00034ADF_200', 'R000183B9_131')]",252,82.5,R000183B9,C00034ADF,C00034ADF_252,R000183B9_82.5,,,,,,
2275,data/cut/R000183C3_C00034ACA_11.png,263.5,505,,,,,R000183C3,C00034ACA,万柳书院,,8.5,250,R000183C3,C00034ACA,C00034ACA_8.5,R000183C3_250,,,,,,
2276,data/cut/R000183C3_C00034ACA_23.png,487,320.5,,,,,R000183C3,C00034ACA,嘻饮力,,232,65.5,R000183C3,C00034ACA,C00034ACA_232,R000183C3_65.5,,,,,,
2277,data/cut/R000183C3_C00034ACA_36.png,305.5,443.5,,,,,R000183C3,C00034ACA,5号楼,"[('C00034AC9_198', 'R000183C3_154'), ('C00034ACA_118', 'R000183C3_154'), ('C00034ACA_118', 'R000183C3_211'), ('C00034AC9_198', 'R000183C3_211')]",50.5,188.5,R000183C3,C00034ACA,C00034ACA_50.5,R000183C3_188.5,,,,,,
2278,data/cut/R000183C3_C00034ACA_40.png,422,342.5,,,,,R000183C3,C00034ACA,1号楼,"[('C00034ACA_128', 'R000183C3_65'), ('C00034ACA_193', 'R000183C3_65'), ('C00034ACA_193', 'R000183C3_114'), ('C00034ACA_128', 'R000183C3_114')]",167,87.5,R000183C3,C00034ACA,C00034ACA_167,R000183C3_87.5,,,,,,
2279,data/cut/R000183C3_C00034ACA_41.png,413.5,279,,,,,R000183C3,C00034ACA,C,,158.5,24,R000183C3,C00034ACA,C00034ACA_158.5,R000183C3_24,,,,,,
2280,data/cut/R000183C3_C00034ACA_45.png,441.5,275.5,441,278,停车场,150900,R000183C3,C00034ACA,P,,186.5,20.5,R000183C3,C00034ACA,C00034ACA_186.5,R000183C3_20.5,186,23,R000183C3,C00034ACA,C00034ACA_186,R000183C3_23
2281,data/cut/R000183B9_C00034AE4_8.png,280,365,280,347,学校内部设施,141207,R000183B9,C00034AE4,中国科学院物理研究所A楼,"[('C00034AE3_168', 'R000183B8_200'), ('C00034AE4_178', 'R000183B8_200'), ('C00034AE4_178', 'R000183B9_143'), ('C00034AE3_168', 'R000183B9_143')]",25,110,R000183B9,C00034AE4,C00034AE4_25,R000183B9_110,25,92,R000183B9,C00034AE4,C00034AE4_25,R000183B9_92
2282,data/cut/R000183B9_C00034AD0_6.png,400,494.5,400,478,幼儿园,141204,R000183B9,C00034AD0,北京明天幼稚集团第五幼儿园,,145,239.5,R000183B9,C00034AD0,C00034AD0_145,R000183B9_239.5,145,223,R000183B9,C00034AD0,C00034AD0_145,R000183B9_223
2283,data/cut/R000183B9_C00034AD0_9.png,414,364,,,,,R000183B9,C00034AD0,稻香园小区健身中心,,159,109,R000183B9,C00034AD0,C00034AD0_159,R000183B9_109,,,,,,
